Région,Delegation,Commune,Etablissement hospitalier,Catégorie,,Liste des abréviations,
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),Mohamed V,HP,,HP,Hôpital Provincial/Préfectoral
Tanger-Tetouan-Al Hoceima,Al Hoceima,Al Hoceima (Mun.),C. d'oncologie d'Al Hoceima,CRO,,HR,Hôpital Régional
Tanger-Tetouan-Al Hoceima,Al Hoceima,Imzouren (Mun.),Imzouren,HPr,,HIR,Hospital Interrégional
Tanger-Tetouan-Al Hoceima,Al Hoceima,Targuist (Mun.),Targuist,HPr,,HPr,Hôpital de Proximité
Tanger-Tetouan-Al Hoceima,Chefchaouen,Chefchaouen (Mun.),Mohamed V,HP,,HPsyP,Hôpital Psychiatrique Provincial/préfectoral
Tanger-Tetouan-Al Hoceima,Larache,Ksar El Kebir (Mun.),Ksar El Kebir,HPr,,CRO,Centre Régional d'Oncologie
Tanger-Tetouan-Al Hoceima,Larache,Larache (Mun.),Lalla Meriem,HP,,HPsyR,Hôpital Psychiatrique Régional
Tanger-Tetouan-Al Hoceima,Ouezzane,Ouezzane (Mun.),Abou Kacem Zahraoui,HP,,CPU,Centre Psychiatrique Universitaire
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Assilah (Mun.),Assilah,HPr,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Bni Makada (Arrond.),Mohammed Vi,HPr,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Mghogha (Arrond.),Arrazi,HPsyR,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Mohamed V,HR,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Al Kortobi,HR,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Duc De Tovar,HR,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Al Madina (Arrond.),Centre d'oncologie,HIR,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Gueznaia (Mun.),Hôpital mère enfant Mohamed VI,HIR,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Gueznaia (Mun.),Hôpital psychiatrique Mohamed VI,CPU,,,
Tanger-Tetouan-Al Hoceima,Tanger Assilah,Gueznaia (Mun.),Hôpital des spécialité Mohamed VI,HIR,,,
Tanger-Tetouan-Al Hoceima,Tetouan,Tétouan (Mun.),Hôpital.Civil,HP,,,
Tanger-Tetouan-Al Hoceima,Tetouan,Tétouan (Mun.),Errazi,HPsyP,,,
Tanger-Tetouan-Al Hoceima,Tetouan,Dar Bni Karrich,Ben Karrich,HP,,,
Tanger-Tetouan-Al Hoceima,Mdiq-Fnideq,Fnideq (Mun.),Hassan II,HPr,,,
Tanger-Tetouan-Al Hoceima,Mdiq-Fnideq,M'Diq (Mun.),Mohammed VI,HP,,,
Oriental,Berkane,Berkane (Mun.),Edderak,HP,,,
Oriental,Berkane,Saidia (Mun.),Saidia,HPr,,,
Oriental,Driouch,Driouch (Mun.),Driouch,HP,,,
Oriental,Figuig,Bouarfa (Mun.),Hassan II,HP,,,
Oriental,Guercif,Guercif (Mun.),Guercif,HP,,,
Oriental,Jerada,Laaouinate,Jrada,HP,,,
Oriental,Nador,Al Aaroui (Mun.),Mohammed Vi,HPr,,,
Oriental,Nador,Nador (Mun.),Hassani,HP,,,
Oriental,Nador,Zaio (Mun.),Zaio,HPr,,,
Oriental,Oujda Angad,Oujda (Mun.),Al Farabi,HR,,,
Oriental,Oujda Angad,Oujda (Mun.),Hôpital Psychiatrique,CPU,,,
Oriental,Oujda Angad,Oujda (Mun.),Hôpital des Spécialitéss,HIR,,,
Oriental,Oujda Angad,Oujda (Mun.),Hôpital Mère-Enfant,HIR,,,
Oriental,Oujda Angad,Sidi Moussa Lemhaya,Centre d'oncoligie Hassan II,HIR,,,
Oriental,Taourirt,El Aioun Sidi Mellouk (Mun.),HPr Laayoune Sidi Mellouk,HPr,,,
Oriental,Taourirt,Taourirt (Mun.),Taourirt,HP,,,
Fès-Meknès,Meknes,Meknès (Mun.),Sidi Said,HP,,,
Fès-Meknès,Meknes,Meknès (Mun.),Mohamed V,HP,,,
Fès-Meknès,Meknes,Meknès (Mun.),Pagnon,HP,,,
Fès-Meknès,Meknes,Meknès (Mun.),Moulay Ismail,HP,,,
Fès-Meknès,Meknes,Meknès (Mun.),Centre d'oncologie,CRO,,,
Fès-Meknès,Boulemane,Missour (Mun.),Marche Verte,HP,,,
Fès-Meknès,Boulemane,Outat El Haj (Mun.),S. Ahmed B. Driss Missouri,HPr,,,
Fès-Meknès,El Hajeb,El Hajeb (Mun.),Prince My Hassan,HP,,,
Fès-Meknès,Fes,Agdal (Arrond.),Al Ghassani,HR,,,
Fès-Meknès,Fes,Agdal (Arrond.),Ibn Al Baitar,HR,,,
Fès-Meknès,Fes,Saiss (Arrond.),Hôpital d'Oncologie,HIR,,,
Fès-Meknès,Fes,Saiss (Arrond.),Hôpital des spécialités,HIR,,,
Fès-Meknès,Fes,Saiss (Arrond.),Hôpital Mère-Enfant,HIR,,,
Fès-Meknès,Fes,Fès-Médina (Arrond.),Omar Drissi,HIR,,,
Fès-Meknès,Fes,El Mariniyine (Arrond.),Ibn Al Khatib,HR,,,
Fès-Meknès,Fes,El Mariniyine (Arrond.),Ibn Al Hassan,CPU,,,
Fès-Meknès,Ifrane,Azrou (Mun.),20 Aout (Azrou),HP,,,
Fès-Meknès,Sefrou,Sefrou (Mun.),Mohamed V,HP,,,
Fès-Meknès,Taounate,Ghafsai (Mun.),Hassan II,HPr,,,
Fès-Meknès,Taounate,Taounate (Mun.),Taounate,HP,,,
Fès-Meknès,Taza,Taza (Mun.),Ibn Baja,HP,,,
Rabat-Salé-Kénitra,Kenitra,Kénitra (Mun.),Al Idrissi,HP,,,
Rabat-Salé-Kénitra,Kenitra,Souk El Arbaa (Mun.),Zoubir Skirej,HPr,,,
